id_movie,name_collection,revenue
862,Toy Story Collection,373554033
15602,Grumpy Old Men Collection,0
11862,Father Of The Bride Collection,76578911
710,James Bond Collection,352194034
21032,Balto Collection,11348324
9273,Ace Ventura Collection,212385533
8012,Chili Palmer Collection,115101622
9598,Babe Collection,254134910
9312,Mortal Kombat Collection,122195920
10530,Pocahontas Collection,346079773
11525,The Lawnmower Man Collection,2409225
10634,Friday Collection,28215918
755,From Dusk Till Dawn Collection,25836616
9102,Screamers Collection,5781885
10874,The Muppet Collection,34327391
27793,The Neverending Story Collection,0
9737,Bad Boys Collection,141407024
414,Batman Collection,336529144
5894,Brooklyn Cigar Store Collection,1275000
8839,Casper Collection,287928194
8068,Mexico Trilogy,25405445
1572,Die Hard Collection,366101666
13552,Teenage Apocalypse Trilogy,0
9073,Free Willy Collection,0
9070,Power Rangers Collection,66000000
1642,Síť (Kolekce),110627965
11980,The Prophecy Collection,16
10802,Showgirls Collection,20350754
10149,Brooklyn Cigar Store Collection,8349430
9348,Species Collection,113374103
3512,Under Siege Collection,104324083
50797,Burnt By The Sun Trilogy,2616503
76,Before... Collection,5535405
2292,Clerks Collection,3151130
8467,Dumb And Dumber Collection,247275374
15789,A Goofy Movie Collection,35348597
628,The Vampire Chronicles,223664608
11,Star Wars Collection,775398007
63105,Nemesis Collection,0
527,Once Were Warriors Collection,2201126
18220,Poison Ivy Collection,0
110,Three Colors Collection,0
108,Three Colors Collection,0
109,Three Colors Collection,0
22586,Swan Princess Series,9771658
11395,The Santa Clause Collection,189833357
9059,Tales From The Crypt Collection,0
193,Star Trek: The Next Generation Collection,120000000
3049,Ace Ventura Collection,107217396
9331,The Jack Ryan Collection,215887717
9495,The Crow Collection,94000000
888,The Flintstones (Live-Action) Collection,341631208
8587,The Lion King Collection,788241776
11596,A Nightmare On Elm Street Collection,18090181
854,The Mask Collection,351583407
36593,Naked Gun Collection,51132598
11011,Richie Rich Collection,0
1637,Speed Collection,350448145
8831,Timecop Collection,101646581
11667,Street Fighter,99423521
75555,Fear Collection,0
8011,Highlander Collection,36800000
2758,Addams Family Collection,48919043
9409,Stakeout Collection,0
306,Beverly Hills Cop Collection,119208989
11310,City Slickers Collection,0
24257,The Endless Summer Collection,0
1634,Free Willy Collection,153698625
5503,The Fugitive / U.S. Marshals Collection,368875760
2019,Hard Target Collection,74189677
9255,Hot Shots! Collection,133752825
16097,House Party Collection,0
329,Jurassic Park Collection,920100000
11231,The Karate Kid Collection,15826984
5550,Robocop Collection,10696210
11236,The Secret Garden Collection,0
8850,The Shadow Collection,48063435
78,Blade Runner Collection,33139618
9066,The Brady Bunch Collection,0
771,Home Alone Collection,476684675
812,Aladdin Collection,504050219
280,The Terminator Collection,520000000
268,Batman Collection,411348924
274,The Hannibal Lecter Anthology,272742922
10020,Beauty And The Beast Collection,377350553
10824,Candyman Collection,13940383
25059,Homeward Bound Collection,32709423
11827,Heavy Metal Collection,0
8766,Hellraiser Collection,16675000
19042,All Dogs Go To Heaven Collection,8620678
954,Mission: Impossible Collection,457696359
8840,Dragonheart Collection,115267375
25087,Bloodsport Collection,684351
5801,The Apu Collection,536364
896,The Apu Collection,16000
8072,Lemmy Caution Collection,0
20762,The Substitute Collection,0
11687,The Visitors Collection,0
9323,Ghost In The Shell Collection,2287714
532,Wallace & Gromit Collection,0
10547,The Arrival Collection,14048372
77771,"Martin Scorsese’S World Cinema Project, Vol. 1",0
627,Trainspotting Collection,16491080
602,Independence Day Collection,816969268
10545,The Hunchback Of Notre Dame Collection,100138851
9327,The Nutty Professor Collection,128769345
12606,The Brady Bunch Collection,0
10546,The Crow Collection,17917287
9431,Tales From The Crypt Collection,5600000
10061,Escape From ... Collection,42277365
238,The Godfather Collection,245066411
11134,Police Story Collection,20483423
38955,Police Story Collection,0
19004,The Land Before Time Collection,0
10987,Halloween Collection,15116634
62,The Space Odyssey Series,68700000
3529,The Thin Man Collection,1423000
10331,Living Dead Collection,30000000
39448,In The Line Of Duty Collection,0
10680,The Mighty Ducks Collection,22955097
18660,The Apple Dumpling Gang Collection,0
35115,Davy Crockett Collection,0
14821,Witch Mountain Collection,20000000
14136,Herbie Collection,0
10869,Herbie Collection,0
19186,Parent Trap Collection,0
6878,Homeward Bound Collection,0
15944,The Shaggy Dog Collection,0
11224,Cinderella Collection,263591415
15947,Caballeros Collection,0
10948,The Fox And The Hound Collection,29800000
11229,Freeway Collection,0
562,Die Hard Collection,140767956
10163,The Lawnmower Man Collection,32101000
11238,Aladdin Collection,0
88,Dirty Dancing Collection,213954274
402,Basic Instinct Collection,352927224
25750,Children Of The Corn Collection,0
11843,The Pink Panther (Original) Collection,41833347
1103,Escape From ... Collection,50244700
11298,The Howling Collection,17985893
4480,The Water Of The Hills Collection,0
4481,The Water Of The Hills Collection,0
531,Wallace & Gromit Collection,0
36555,Best Of The Best Collection,0
11455,Cheech & Chong Collection,41590893
1891,Star Wars Collection,538400000
85,Indiana Jones Collection,389925971
679,Alien Collection,183316455
429,The Man With No Name Collection,6000000
1892,Star Wars Collection,572700000
348,Alien Collection,104931801
766,Evil Dead Collection,0
539,Psycho Collection,32000000
525,The Blues Brothers Collection,115229890
240,The Godfather Collection,47542841
530,Wallace & Gromit Collection,0
9277,The Sting Collection,159616327
218,The Terminator Collection,78371200
829,The Jake Gittes Collection,30000000
765,Evil Dead Collection,5923044
105,Back To The Future Collection,381109762
8009,Highlander Collection,5900000
756,Fantasia Collection,83320000
11314,Qatsi Collection,1723872
89,Indiana Jones Collection,474171806
8077,Alien Collection,159773545
41671,The Amityville Horror Collection,0
27214,The Amityville Horror Collection,6333135
52263,The Amityville Horror Collection,0
33519,The Amityville Horror Collection,0
16235,The Amityville Horror Collection,12534817
11449,The Amityville Horror Collection,86432000
41848,The Amityville Horror Collection,0
8851,The Blob Collection,0
229,Frankenstein (Universal Series),0
9529,Candyman Collection,25792310
7340,Carrie Collection,33800000
377,A Nightmare On Elm Street Collection,25504513
794,The Omen Collection,60922980
145,Heart Of Gold Collection,3803298
199,Star Trek: The Next Generation Collection,150000000
9279,Jingle All The Way Collection,129832389
17204,Paradise Lost Collection,0
11674,101 Dalmatians (Live-Action) Collection,320689294
1573,Die Hard Collection,240031094
152,Star Trek: The Original Series Collection,139000000
174,Star Trek: The Original Series Collection,96900000
172,Star Trek: The Original Series Collection,70200000
154,Star Trek: The Original Series Collection,96800000
157,Star Trek: The Original Series Collection,87000000
168,Star Trek: The Original Series Collection,133000000
364,Batman Collection,280000000
11967,Young Guns Collection,44726644
9086,Young Guns Collection,0
621,Grease Collection,181813770
9037,Grease Collection,15171476
8845,Under Siege Collection,156563139
578,The Jaws Collection,470654000
579,The Jaws Collection,187884007
17692,The Jaws Collection,87987055
4232,Scream Collection,173046663
34314,Turbulence Collection,11466088
9404,Police Story Collection,21890845
10003,The Saint Collection,118063304
11844,Barrytown Trilogy,0
6499,Power Rangers Collection,17979739
9360,Anaconda Collection,136885767
816,Austin Powers Collection,67683989
49478,Warriors Of Virtue Collection,0
1811,Teenage Apocalypse Trilogy,27354
330,Jurassic Park Collection,229074524
33660,Shiloh Collection,0
1639,Speed Collection,164508066
415,Batman Collection,238207122
17991,Tetsuo Collection,0
607,Men In Black Collection,589390539
9387,Conan The Barbarian Collection,79114085
10603,George Of The Jungle Collection,0
20737,Air Bud Collection,23144499
18519,Free Willy Collection,0
4961,Mimic Collection,25480490
1669,The Jack Ryan Collection,199200000
9437,Alex Cross Collection,60527873
10351,Wishmaster Collection,15719109
3597,I Know What You Did Last Summer Collection,125586134
1281,Mr. Bean Collection,251212670
563,Starship Troopers Collection,121214377
9823,Mortal Kombat Collection,51376861
8078,Alien Collection,162000000
42832,Les Boys,0
9714,Home Alone Collection,79082515
4233,Scream Collection,172363301
714,James Bond Collection,333011068
9922,The Postman Collection,17626234
32302,3 Ninjas Collection,0
9033,The Prophecy Collection,0
11568,The Blues Brothers Collection,14051384
11808,The Fugitive / U.S. Marshals Collection,102367405
617,Wild Things Collection,67200000
17644,Barney Collection,0
27472,The Odd Couple Collection,0
10216,Species Collection,19165560
9771,Major League Collection,3572443
37410,Henry Fool Collection,1334786
10674,Mulan Collection,304320254
846,The X-Files Collection,189198313
3050,Dr. Dolittle Collection,294456605
944,Lethal Weapon Collection,285444603
1051,French Connection Collection,41158757
1366,Rocky Collection,117235147
10014,A Nightmare On Elm Street Collection,29999213
10072,A Nightmare On Elm Street Collection,44793222
10131,A Nightmare On Elm Street Collection,72500000
10160,A Nightmare On Elm Street Collection,22168359
11284,A Nightmare On Elm Street Collection,34872033
4488,Friday The 13Th Collection,59754601
9725,Friday The 13Th Collection,21722776
9728,Friday The 13Th Collection,36690067
9730,Friday The 13Th Collection,32980880
9731,Friday The 13Th Collection,21930418
10225,Friday The 13Th Collection,19472057
10281,Friday The 13Th Collection,19170001
10283,Friday The 13Th Collection,14000000
948,Halloween Collection,70000000
11281,Halloween Collection,25533818
10676,Halloween Collection,14400000
11357,Halloween Collection,17768757
11361,Halloween Collection,11642254
36599,Prom Night Collection,14796236
39929,Prom Night Collection,2683519
41828,Prom Night Collection,0
41769,Prom Night Collection,0
609,Poltergeist Collection,122200000
11133,Poltergeist Collection,40996665
10306,Poltergeist Collection,14144000
