title,text
'71,Yann DemangeThriller Action Drama War
(500) Days Of Summer,Marc WebbComedy Drama Romance
(Untitled),Jonathan ParkerDrama Comedy Romance
+1,Dennis IliadisThriller Science Fiction
...And Justice For All,Norman JewisonCrime Drama Mystery Thriller
.45,Gary LennonDrama Crime Thriller
1,Paul CrowderDocumentary
10,Blake EdwardsComedy Romance
10 Cloverfield Lane,Dan TrachtenbergThriller Science Fiction Drama
10 Items Or Less,Brad SilberlingComedy Drama
10 Rules For Sleeping Around,Leslie GreifComedy Romance
10 Things I Hate About You,Gil JungerComedy Romance Drama
10 Years,Jamie LindenComedy Drama
"10,000 Bc",Roland EmmerichAdventure Action Drama Fantasy
10.5,John LafiaAdventure Action Drama
100 Bloody Acres,Cameron CairnesComedy Horror
100 Bloody Acres,Colin CairnesComedy Horror
100 Feet,Eric RedHorror Thriller
100 Girls,Michael DavisComedy Drama Romance
100 Meters,Marcel BarrenaComedy Drama
100 Streets,Jim O'HanlonDrama
101 Dalmatians,Stephen HerekComedy Family
101 Dalmatians Ii: Patch'S London Adventure,Jim KammerudAnimation Family
101 Dalmatians Ii: Patch'S London Adventure,Brian SmithAnimation Family
101 Reykjavik,Baltasar KormákurDrama Comedy Romance
102 Dalmatians,Kevin LimaComedy Family
11-11-11,Darren Lynn BousmanHorror Thriller
11.22.63,James FrancoDrama History Thriller
11.22.63,Kevin MacdonaldDrama History Thriller
11.22.63,James StrongDrama History Thriller
11.22.63,John David ColesDrama History Thriller
11.22.63,James KentDrama History Thriller
11.22.63,Fred ToyeDrama History Thriller
11:14,Greg MarcksCrime Drama Thriller
12,Nikita MikhalkovCrime Drama
12 Angry Men,Sidney LumetDrama
12 Dates Of Christmas,James HaymanTV Movie Fantasy Comedy Romance Family
12 Feet Deep,Matt EskandariThriller
12 Rounds,Renny HarlinAction Adventure Drama Thriller
12 Rounds 2: Reloaded,Roel ReinéAction Adventure
12 Rounds 3: Lockdown,Stephen ReynoldsAction Thriller
12 Years A Slave,Steve McQueenDrama History
127 Hours,Danny BoyleAdventure Drama Thriller
12:01,Jack SholderScience Fiction Thriller
13,Géla BabluaniDrama Thriller
13 Assassins,Takashi MiikeAdventure Drama Action
13 Eerie,Lowell DeanHorror Thriller
13 Ghosts,William CastleHorror
13 Going On 30,Gary WinickComedy Fantasy Romance
13 Hours: The Secret Soldiers Of Benghazi,Michael BayAction Drama History Thriller War
13 Minutes,Oliver HirschbiegelDrama War
13 Sins,Daniel StammHorror Thriller
13Hrs,Jonathan GlendeningHorror Action
13Th,Ava DuVernayDocumentary
1408,Mikael HåfströmHorror Thriller
1492: Conquest Of Paradise,Ridley ScottAction Adventure Drama History
15 Minutes,John HerzfeldAction Crime Thriller
16 Blocks,Richard DonnerAction Adventure Crime Thriller
16 Wishes,Peter DeLuiseFantasy Drama Family
17 Again,Burr SteersComedy
17 Girls,Muriel CoulinDrama
17 Girls,Delphine CoulinDrama
1898. Our Last Men In The Philippines,Salvador CalvoWar Drama History
1900,Bernardo BertolucciDrama History Romance
1911,Jackie ChanAdventure Drama Action History War
1911,张立 | Zhang LiAdventure Drama Action History War
1941,Steven SpielbergAction Comedy
1944,Elmo NüganenWar Drama
1984,Michael AndersonDrama Science Fiction
1990: The Bronx Warriors,Enzo G. CastellariAction Science Fiction
1½ Knights - In Search Of The Ravishing Princess Herzelinde,Til SchweigerAdventure Comedy
1½ Knights - In Search Of The Ravishing Princess Herzelinde,Torsten KünstlerAdventure Comedy
1½ Knights - In Search Of The Ravishing Princess Herzelinde,Christof WahlAdventure Comedy
2 Alone In Paris,Eric JudorComedy
2 Alone In Paris,Ramzy BediaComedy
2 Days In New York,Julie DelpyComedy
2 Days In Paris,Julie DelpyComedy Romance
2 Days In The Valley,John HerzfeldComedy Crime
2 Guns,Baltasar KormákurAction Comedy Crime
2 Or 3 Things I Know About Her,Jean-Luc GodardComedy Drama
2-Headed Shark Attack,Christopher RayHorror Action Thriller Science Fiction
20 Feet From Stardom,Morgan NevilleDocumentary Music
20 Million Miles To Earth,Nathan H. JuranScience Fiction
"20,000 Days On Earth",Iain ForsythDocumentary Drama Music
"20,000 Days On Earth",Jane PollardDocumentary Drama Music
"20,000 Leagues Under The Sea",Richard FleischerAdventure Drama Science Fiction
2001 Maniacs,Tim SullivanComedy Horror
2001: A Space Odyssey,Stanley KubrickScience Fiction Mystery Adventure
2010,Peter HyamsThriller Science Fiction
2012,Roland EmmerichAction Adventure Science Fiction
2012: Ice Age,Trey StokesAction Adventure Science Fiction
2012: Ice Age,Travis FortAction Adventure Science Fiction
2046,Wong Kar-waiFantasy Drama Science Fiction Romance
2047: Sights Of Death,Alessandro CaponeAction Thriller Science Fiction
2081,Chandler TuttleAction Science Fiction Thriller
20Th Century Women,Mike MillsDrama
21,Robert LuketicDrama Crime
21 & Over,Jon LucasComedy
21 & Over,Scott MooreComedy
21 Grams,Alejandro González IñárrituDrama Crime Thriller
21 Jump Street,Phil LordAction Comedy Crime
21 Jump Street,Christopher MillerAction Comedy Crime
22 Bullets,Richard BerryAction Crime Thriller
22 Jump Street,Phil LordCrime Comedy Action
22 Jump Street,Christopher MillerCrime Comedy Action
23,Hans-Christian SchmidDrama Thriller
24 Hour Party People,Michael WinterbottomComedy Drama
247°F,Levan BakhiaHorror Thriller
247°F,Beqa JguburiaHorror Thriller
24: Redemption,Jon CassarAction Adventure Crime
25Th Hour,Spike LeeCrime Drama
27 Dresses,Anne FletcherComedy Romance
28 Days,Betty ThomasComedy Drama
28 Days Later,Danny BoyleHorror Thriller Science Fiction
28 Weeks Later,Juan Carlos FresnadilloHorror Thriller Science Fiction
2:22,Phillip GuzmanThriller
2:22,Paul CurrieDrama Thriller
2:37,Murali K. ThalluriDrama
3 Days To Kill,McGAction Drama Thriller Crime
3 Generations,Gaby DellalComedy Drama
3 Godfathers,John FordAction Drama Western
3 Idiots,Rajkumar HiraniDrama Comedy Romance
3 Ninjas,Jon TurteltaubAction Adventure Comedy Family
3 Ninjas Kick Back,Charles T. KanganisAdventure Action Comedy Family
3-D Sex And Zen: Extreme Ecstasy,Christopher SunDrama
3-Iron,Kim Ki-dukDrama Romance Crime
30 Days Of Night,David SladeHorror Thriller
30 Days Of Night: Dark Days,Ben KetaiHorror Thriller
30 Minutes Or Less,Ruben FleischerAction Adventure Comedy
300,Zack SnyderAction Adventure War
