id_movie,id_production_companies,name_production_companies,revenue
862,3,Pixar Animation Studios,373554033
8844,559,TriStar Pictures,262797249
8844,2550,Teitler Film,262797249
8844,10201,Interscope Communications,262797249
15602,6194,Warner Bros.,0
15602,19464,Lancaster Gate,0
31357,306,Twentieth Century Fox Film Corporation,81452156
11862,5842,Sandollar Productions,76578911
11862,9195,Touchstone Pictures,76578911
949,508,Regency Enterprises,187436818
949,675,Forward Pass,187436818
949,6194,Warner Bros.,187436818
11860,4,Paramount Pictures,0
11860,258,Scott Rudin Productions,0
11860,932,Mirage Enterprises,0
11860,5842,Sandollar Productions,0
11860,14941,Constellation Entertainment,0
11860,55873,Worldwide,0
11860,58079,Mont Blanc Entertainment GmbH,0
45325,2,Walt Disney Pictures,0
9091,33,Universal Pictures,64350171
9091,21437,Imperial Entertainment,64350171
9091,23770,Signature Entertainment,64350171
710,60,United Artists,352194034
710,7576,Eon Productions,352194034
9087,5,Columbia Pictures,107879496
9087,97,Castle Rock Entertainment,107879496
12110,5,Columbia Pictures,0
12110,97,Castle Rock Entertainment,0
12110,6368,Enigma Pictures,0
21032,33,Universal Pictures,11348324
21032,56,Amblin Entertainment,11348324
21032,4105,Amblimation,11348324
10858,915,Hollywood Pictures,13681765
10858,1504,Cinergi Pictures Entertainment,13681765
1408,183,Le Studio Canal+,10017322
1408,415,Laurence Mark Productions,10017322
1408,8411,Metro-Goldwyn-Mayer (MGM),10017322
1408,14723,Carolco Pictures,10017322
524,33,Universal Pictures,116112375
524,10898,Légende Entreprises,116112375
524,11583,Syalis DA,116112375
524,11584,De Fina-Cappa,116112375
4584,441,Columbia Pictures Corporation,135000000
4584,932,Mirage Enterprises,135000000
5,14,Miramax Films,4300000
5,59,A Band Apart,4300000
9273,5682,O Entertainment,212385533
9273,6194,Warner Bros.,212385533
9273,10210,Morgan Creek Productions,212385533
11517,5,Columbia Pictures,35431113
8012,216,Jersey Films,115101622
8012,8411,Metro-Goldwyn-Mayer (MGM),115101622
1710,508,Regency Enterprises,0
1710,10104,New Regency Pictures,0
9691,1885,Silver Pictures,30303072
9691,5358,Canal+,30303072
9691,6194,Warner Bros.,30303072
